stratum	control	null_replicates	null_spearman_mean	null_spearman_q025	null_spearman_q975	null_mae_mean	null_mae_q025	null_mae_q975	observed_spearman	observed_mae	spearman_empirical_p_greater	mae_empirical_p_lower	aligned_feature_necessity_supported	interpretation
all_exact_kd	joint_permutation	100	0.0912101368736636	0.0470666784679613	0.142297675834412	1.59379041743668	1.55956559054087	1.62255826277272	0.426826528907209	1.31201059993551	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
all_exact_kd	ligand_permutation	100	0.275170532057697	0.247934338294451	0.301263057637296	1.4606945716579	1.43664938396743	1.48377898436513	0.426826528907209	1.31201059993551	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
all_exact_kd	protein_permutation	100	0.244958652092079	0.209128100542045	0.289461262934148	1.45740863184087	1.42614087692693	1.49221692215149	0.426826528907209	1.31201059993551	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
drug_cold	joint_permutation	100	-0.00486490355954539	-0.110139722022057	0.09977972479956	1.86091264636037	1.7658078770621	1.97274903713096	0.617551221027469	1.21534178476977	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
drug_cold	ligand_permutation	100	0.424615083277638	0.380604834061403	0.467957920547276	1.45282869707138	1.40526183859464	1.50026902706102	0.617551221027469	1.21534178476977	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
drug_cold	protein_permutation	100	0.221118289480215	0.139248463077546	0.326645277303013	1.67673847292232	1.58355555170385	1.75299769400211	0.617551221027469	1.21534178476977	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
protein_identity_cold	joint_permutation	100	0.00185231081983507	-0.0862061182455224	0.0854289770479815	1.48885063630588	1.43863936732789	1.56023858322214	0.128224690481178	1.37898287933226	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
protein_identity_cold	ligand_permutation	100	-0.00817129646021267	-0.0789132221305033	0.0580651680298052	1.49250770764652	1.44603012792175	1.53495914838704	0.128224690481178	1.37898287933226	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
protein_identity_cold	protein_permutation	100	0.143947554391791	0.0576307222007837	0.243621607860736	1.3790887796379	1.32174527017477	1.43265714223973	0.128224690481178	1.37898287933226	0.574257425742574	0.534653465346535	FALSE	Observed rank does not exceed this identity-permutation null in this stratum
protein_identity_cold_including_double	joint_permutation	100	0.0200532641303356	-0.032720659381635	0.0692361158723797	1.50545560298258	1.47183934003641	1.53889930287942	0.243919053417311	1.34092606323136	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
protein_identity_cold_including_double	ligand_permutation	100	0.0866891279307367	0.0544676217825038	0.118325086416021	1.46114403935442	1.43920487442911	1.48543159990762	0.243919053417311	1.34092606323136	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
protein_identity_cold_including_double	protein_permutation	100	0.170616713576548	0.128893657308317	0.219140067728774	1.38555214437794	1.35047108748796	1.4181051682019	0.243919053417311	1.34092606323136	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
seen_molecule_and_protein_cluster_new_pair	joint_permutation	100	-0.0133563386758592	-0.326702575704241	0.352995323212699	2.35276078264741	1.91373052617451	2.776436963598	0.545917121830646	1.18564673402458	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
seen_molecule_and_protein_cluster_new_pair	ligand_permutation	100	0.497192924481377	0.278256669628742	0.692538267802648	1.54289859607126	1.26688350530555	1.79391064280985	0.545917121830646	1.18564673402458	0.336633663366337	0.0198019801980198	FALSE	Observed rank does not exceed this identity-permutation null in this stratum
seen_molecule_and_protein_cluster_new_pair	protein_permutation	100	0.256179852511128	-0.00703588837141982	0.543910904664499	2.04784505653047	1.68478564374965	2.38629904986088	0.545917121830646	1.18564673402458	0.0396039603960396	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
strict_double_cold	joint_permutation	100	0.00372003468052658	-0.0669923708899915	0.0685393024494376	1.51406471212604	1.47693899029451	1.56093049749296	0.283881838473294	1.32119490147451	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
strict_double_cold	ligand_permutation	100	0.110104723522635	0.0738802527303933	0.15226940287466	1.44488304656094	1.4140604811611	1.47346529918477	0.283881838473294	1.32119490147451	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
strict_double_cold	protein_permutation	100	0.164614277775205	0.108133536658085	0.232322014787421	1.38890317865366	1.34180406419682	1.43025604615661	0.283881838473294	1.32119490147451	0.0099009900990099	0.0099009900990099	TRUE	Observed rank exceeds this identity-permutation null in this stratum
